median_income,zipcode
38750,ZCTA5 98670
70979,ZCTA5 98671
62279,ZCTA5 98672
40893,ZCTA5 98673
63153,ZCTA5 98674
59368,ZCTA5 98675
60353,ZCTA5 98682
57809,ZCTA5 98683
56681,ZCTA5 98684
81293,ZCTA5 98685
76581,ZCTA5 98686
51157,ZCTA5 98801
59048,ZCTA5 98802
56429,ZCTA5 98811
40238,ZCTA5 98812
39885,ZCTA5 98813
57644,ZCTA5 98814
60560,ZCTA5 98815
53261,ZCTA5 98816
"2,500-",ZCTA5 98817
24750,ZCTA5 98819
null,ZCTA5 98821
50823,ZCTA5 98822
55733,ZCTA5 98823
47857,ZCTA5 98824
50254,ZCTA5 98826
36451,ZCTA5 98827
60379,ZCTA5 98828
35107,ZCTA5 98829
53750,ZCTA5 98830
47045,ZCTA5 98831
76875,ZCTA5 98832
51094,ZCTA5 98833
48250,ZCTA5 98834
66172,ZCTA5 98836
48696,ZCTA5 98837
41181,ZCTA5 98840
46243,ZCTA5 98841
54107,ZCTA5 98843
34444,ZCTA5 98844
44107,ZCTA5 98845
45625,ZCTA5 98846
45524,ZCTA5 98847
48973,ZCTA5 98848
38125,ZCTA5 98849
36375,ZCTA5 98850
34079,ZCTA5 98851
null,ZCTA5 98852
-,ZCTA5 98853
39492,ZCTA5 98855
36646,ZCTA5 98856
47431,ZCTA5 98857
43693,ZCTA5 98858
null,ZCTA5 98859
45568,ZCTA5 98860
56333,ZCTA5 98862
37327,ZCTA5 98901
39485,ZCTA5 98902
46207,ZCTA5 98903
56357,ZCTA5 98908
23636,ZCTA5 98921
51504,ZCTA5 98922
45980,ZCTA5 98923
61100,ZCTA5 98925
43395,ZCTA5 98926
-,ZCTA5 98929
46155,ZCTA5 98930
42270,ZCTA5 98932
47917,ZCTA5 98933
38882,ZCTA5 98934
42530,ZCTA5 98935
56205,ZCTA5 98936
51348,ZCTA5 98937
62171,ZCTA5 98938
null,ZCTA5 98939
null,ZCTA5 98940
52750,ZCTA5 98941
54551,ZCTA5 98942
46250,ZCTA5 98943
39295,ZCTA5 98944
50694,ZCTA5 98946
44619,ZCTA5 98947
36604,ZCTA5 98948
68625,ZCTA5 98950
38698,ZCTA5 98951
43875,ZCTA5 98952
56047,ZCTA5 98953
36210,ZCTA5 99001
68906,ZCTA5 99003
39672,ZCTA5 99004
86396,ZCTA5 99005
61416,ZCTA5 99006
63348,ZCTA5 99008
51811,ZCTA5 99009
54514,ZCTA5 99011
46619,ZCTA5 99012
36406,ZCTA5 99013
55571,ZCTA5 99016
45000,ZCTA5 99017
55000,ZCTA5 99018
71083,ZCTA5 99019
-,ZCTA5 99020
56543,ZCTA5 99021
53283,ZCTA5 99022
82375,ZCTA5 99023
79386,ZCTA5 99025
65820,ZCTA5 99026
52872,ZCTA5 99027
62904,ZCTA5 99029
60547,ZCTA5 99030
40729,ZCTA5 99031
35000,ZCTA5 99032
47188,ZCTA5 99033
-,ZCTA5 99034
90179,ZCTA5 99036
59394,ZCTA5 99037
46250,ZCTA5 99039
33750,ZCTA5 99040
38173,ZCTA5 99101
32969,ZCTA5 99102
45469,ZCTA5 99103
68000,ZCTA5 99105
36857,ZCTA5 99109
30750,ZCTA5 99110
49083,ZCTA5 99111
61838,ZCTA5 99113
40010,ZCTA5 99114
47500,ZCTA5 99115
49813,ZCTA5 99116
40917,ZCTA5 99117
36938,ZCTA5 99118
37222,ZCTA5 99119
45769,ZCTA5 99121
49550,ZCTA5 99122
62375,ZCTA5 99123
43438,ZCTA5 99124
42500,ZCTA5 99125
44500,ZCTA5 99126
65625,ZCTA5 99128
37727,ZCTA5 99129
46458,ZCTA5 99130
44167,ZCTA5 99131
45264,ZCTA5 99133
67159,ZCTA5 99134
61250,ZCTA5 99135
31250,ZCTA5 99136
39327,ZCTA5 99137
27120,ZCTA5 99138
46850,ZCTA5 99139
22679,ZCTA5 99140
42065,ZCTA5 99141
44167,ZCTA5 99143
-,ZCTA5 99144
60278,ZCTA5 99146
48125,ZCTA5 99147
48983,ZCTA5 99148
32813,ZCTA5 99149
29500,ZCTA5 99150
34583,ZCTA5 99151
58750,ZCTA5 99152
32955,ZCTA5 99153
null,ZCTA5 99154
23529,ZCTA5 99155
38105,ZCTA5 99156
25000,ZCTA5 99157
49821,ZCTA5 99158
49464,ZCTA5 99159
18906,ZCTA5 99160
58107,ZCTA5 99161
27733,ZCTA5 99163
-,ZCTA5 99164
40938,ZCTA5 99166
50543,ZCTA5 99167
46653,ZCTA5 99169
42143,ZCTA5 99170
38958,ZCTA5 99171
34924,ZCTA5 99173
null,ZCTA5 99174
51786,ZCTA5 99176
64167,ZCTA5 99179
42500,ZCTA5 99180
34766,ZCTA5 99181
41458,ZCTA5 99185
23528,ZCTA5 99201
30588,ZCTA5 99202
67873,ZCTA5 99203
30212,ZCTA5 99204
45426,ZCTA5 99205
52842,ZCTA5 99206
32623,ZCTA5 99207
56368,ZCTA5 99208
49994,ZCTA5 99212
45479,ZCTA5 99216
48024,ZCTA5 99217
47773,ZCTA5 99218
61863,ZCTA5 99223
58789,ZCTA5 99224
58071,ZCTA5 99301
59497,ZCTA5 99320
null,ZCTA5 99321
49688,ZCTA5 99322
75689,ZCTA5 99323
43525,ZCTA5 99324
52656,ZCTA5 99326
37338,ZCTA5 99328
45625,ZCTA5 99329
39250,ZCTA5 99330
24750,ZCTA5 99333
48438,ZCTA5 99335
41927,ZCTA5 99336
66543,ZCTA5 99337
97276,ZCTA5 99338
56500,ZCTA5 99341
56512,ZCTA5 99343
45682,ZCTA5 99344
66250,ZCTA5 99345
41917,ZCTA5 99346
47656,ZCTA5 99347
37419,ZCTA5 99348
48528,ZCTA5 99349
54766,ZCTA5 99350
73255,ZCTA5 99352
81095,ZCTA5 99353
62317,ZCTA5 99354
29583,ZCTA5 99356
40862,ZCTA5 99357
34423,ZCTA5 99359
66250,ZCTA5 99360
52315,ZCTA5 99361
47392,ZCTA5 99362
-,ZCTA5 99363
56250,ZCTA5 99371
59676,ZCTA5 99401
53780,ZCTA5 99402
43711,ZCTA5 99403
